"tree_species","insect_species","fungi_strain","site","year","interaction_id","temperature","humidity","tree_dbh","tree_height","tree_health","insect_size_base","insect_size","insect_resistance_base","insect_resistance","fungus_growth_base","fungus_growth","fungus_virulence_base","fungus_virulence","tree_damage","infection_success","vector_efficiency","tree_defense_response","observation_date","observer_id"
"Tree_B","Insect_C","Fungi_1","SITE_0008",2022,14,10.15094189712,72.2723121298771,46.5830189390392,31.7035927813702,0.989347124937922,18,18.1428800686246,0.5,0.565946568274558,12,14.2919520996477,0.8,0.851070466720748,0.314744174409039,1,8.19698235409757,1.1741251393916,2022-07-05,"OBSV_1498"
"Tree_D","Insect_B","Fungi_3","SITE_0001",2020,15,-4.14519859019205,85.7632669463177,18.6096504268183,11.5607186259437,0.715387610835023,12,6.39497835379761,0.9,0.918731430572219,10,13.2482163750116,0.9,0.467700007278756,0.135855636316922,0,1.25510563407935,0.82558153828181,2020-07-13,"OBSV_1193"
"Tree_C","Insect_E","Fungi_4","SITE_0002",2023,16,-3.82555696345634,30,21.9244645495054,15.790517378333,0.754066113941371,14,8.77950522845069,0.6,0.736965940127523,18,1.68940283874156,0.5,0.395250323426473,0.0412128995211776,0,2.65805439170948,0.336690138670678,2023-04-13,"OBSV_1761"
"Tree_A","Insect_D","Fungi_1","SITE_0011",2023,17,6.28936358616143,66.1113172900524,22.5709167644304,17.1878857581422,0.934762938064523,10,8.60595155626934,0.8,0.787186804280386,12,17.860088720399,0.8,0.618902307076109,0.226843725532401,0,1.14839353647777,0.292628199007791,2023-09-28,"OBSV_1271"
"Tree_E","Insect_B","Fungi_3","SITE_0006",2020,18,7.89751902938425,61.683429999816,51.4146296216939,40.2449558698561,0.730566417216323,12,10.0941422258744,0.9,0.930780739748854,10,10.2668632694534,0.9,0.791383055495279,0.121472429518557,0,-0.0325244964464224,0.152728753446473,2020-08-10,"OBSV_1467"
"Tree_E","Insect_E","Fungi_3","SITE_0005",2021,19,10.9693382978547,79.187470224775,39.5186599579114,26.3916790564109,0.484323415160179,14,13.8273863708822,0.6,0.638205876668054,10,14.0259014061314,0.9,0.892438878912393,0.390579627295141,1,4.80028525830677,0.255167915152853,2021-09-08,"OBSV_1234"
"Tree_B","Insect_E","Fungi_2","SITE_0008",2019,20,11.7240613546345,61.6459882212734,64.2641272819749,46.4859251154239,0.984027460915968,14,14.9764164417697,0.6,0.544000793367666,15,15.9426034868264,0.6,0.666775070618427,0.304980150893294,1,6.6101959714373,0.451602490663228,2019-04-06,"OBSV_1143"
"Tree_B","Insect_E","Fungi_2","SITE_0002",2020,21,0.0188359941573339,72.5128095934811,9.73960792152558,5.32696658838852,0.396536557539366,14,11.1887066064529,0.6,0.789873817085663,15,20.6818091008211,0.6,0.29216919741747,0.0561469012861609,0,2.49061431421866,0.781697971386938,2020-04-20,"OBSV_1260"
"Tree_B","Insect_E","Fungi_4","SITE_0006",2019,22,8.96430672618625,68.4195706977554,7.93318356660143,6.27078544044581,0.799049521703273,14,11.9200291326231,0.6,0.513270598828563,18,21.9849259607589,0.5,0.352769926926287,0,0,5.73304825222866,1.08061038486414,2019-09-10,"OBSV_1207"
"Tree_C","Insect_D","Fungi_4","SITE_0015",2019,23,24.167548620572,38.8659573319726,17.1891727932841,14.2316942922195,0.718204658175819,10,9.52293359226777,0.8,0.847685809690739,18,6.14414969221309,0.5,0.415614028454705,0.095841019154471,0,0.785405864804513,0.164299476961312,2019-04-19,"OBSV_1373"
"Tree_B","Insect_C","Fungi_2","SITE_0009",2023,24,4.03291850723687,60.2358562796029,24.4586737771773,18.0373553842019,0.727322042942978,18,15.0774274243036,0.5,0.61523399405137,15,16.1543653623894,0.6,0.447130436538779,0.0436948936331539,0,6.26414209711889,0.0348870243364469,2023-04-10,"OBSV_1328"
"Tree_D","Insect_A","Fungi_3","SITE_0006",2022,25,15.9508796656312,30,25.7094963241686,18.0607666569952,0.762575263343751,15,13.8198617450602,0.7,0.739581793160917,10,2.19808632237283,0.9,0.999304134512238,0.312458474071425,1,3.06179445814482,0.70873573099985,2022-04-26,"OBSV_1228"
"Tree_C","Insect_E","Fungi_2","SITE_0003",2023,26,-7.84043134744486,60.4901007151845,20.6454859375285,10.4696998716445,0.800429210206494,14,8.96251122074424,0.6,0.600380144152893,15,14.4090907153815,0.6,0.462629750419546,0.0567001576385028,0,3.72743103164693,0.325076152372914,2023-08-27,"OBSV_1864"
"Tree_C","Insect_B","Fungi_3","SITE_0011",2019,27,27.6409281670516,73.1398521102556,19.1553091822236,15.2238580664927,0.566882061562501,12,14.745748686504,0.9,0.816072630033388,10,11.5416555647338,0.9,1,0.208902175583682,0,2.94690204703996,0.34519174129731,2019-08-23,"OBSV_1887"
"Tree_D","Insect_A","Fungi_2","SITE_0014",2023,28,9.41275267326535,75.5220030179171,44.4783574959858,29.9119575041445,0.906744162901305,15,13.5287422839354,0.7,0.769717532012681,15,18.904332118467,0.6,0.422237915590899,0.130357085206927,0,3.23526494436883,1.62730231351595,2023-07-14,"OBSV_1496"
"Tree_A","Insect_C","Fungi_2","SITE_0015",2023,29,25.4129712912181,30,5.88692438767673,5.83405216738371,0.891891417698935,18,21.7959107072204,0.5,0.543232307036546,15,0.629819356321453,0.6,0.570295622253015,0.199703669471217,0,9.91916155722235,0.328611953946493,2023-08-26,"OBSV_1122"
"Tree_C","Insect_A","Fungi_3","SITE_0008",2022,30,26.2134636820852,68.4452802464163,49.42391247166,35.7285450476965,0.359088652394712,15,17.7407035839797,0.7,0.532406704498784,10,13.5576381073072,0.9,1,0.279031549225289,0,9.11155203259236,0.251440582742001,2022-05-17,"OBSV_1122"
"Tree_C","Insect_A","Fungi_3","SITE_0011",2023,31,0.459208506536354,95,12.5558918513331,5.89225111402409,0.758034954941831,15,8.92561781620668,0.7,0.737163053961016,10,20.7312899501356,0.9,0.663621232618485,0.146540212738612,0,2.40775779574161,0.771723267326449,2023-06-03,"OBSV_1144"
"Tree_E","Insect_B","Fungi_3","SITE_0010",2020,32,13.3450313697592,47.674050173481,27.6298055756247,18.5808278979155,0.902007521665655,12,9.26836851894666,0.9,1,10,4.29380276003273,0.9,0.860927161001215,0.135562573300095,0,0.125633190260508,0.394897265764895,2020-04-21,"OBSV_1227"
"Tree_D","Insect_C","Fungi_2","SITE_0006",2019,33,9.10116101851077,62.6209271836927,32.2077600542199,20.3298158463993,0.433260614308529,18,17.5345724132569,0.5,0.637087784594701,15,15.9671441012267,0.6,0.482795237940031,0,0,7.13289438550077,0.236071306376326,2019-09-23,"OBSV_1123"
"Tree_E","Insect_C","Fungi_1","SITE_0003",2020,34,1.17650036232782,43.3650245552341,46.7892279404241,34.9341221121385,0.773099639266729,18,11.8585050290098,0.5,0.485261181574083,12,5.87084778877296,0.8,0.605642216517702,0.362632525605175,1,6.0174736099847,0.372430399561153,2020-07-18,"OBSV_1210"
"Tree_B","Insect_A","Fungi_2","SITE_0012",2023,35,13.0353230322296,71.1830110749766,33.843041232284,21.9562814409616,0.301895616715774,15,16.0237672504632,0.7,0.728089008041102,15,23.7233128301965,0.6,0.518416280100169,0.00673721177288007,0,4.15976863694522,0.518701409860765,2023-04-27,"OBSV_1309"
"Tree_E","Insect_D","Fungi_2","SITE_0012",2019,36,15.9952633691399,39.8644715911079,26.8459627985015,19.1234354438205,0.357660010294057,10,12.9803650791344,0.8,0.767917544669029,15,5.2914920506134,0.6,0.623557446318538,0.135977839157948,0,3.40298962050698,0.114609200802276,2019-08-25,"OBSV_1151"
"Tree_E","Insect_B","Fungi_3","SITE_0011",2023,37,15.9750577425536,63.8370061586203,37.7311447868357,26.1440434500696,0.741108317230828,12,13.9622802684234,0.9,0.929984536435682,10,11.1932683700108,0.9,0.83178456559191,0.059651234704553,0,1.03624527200865,0.469208398375919,2023-07-27,"OBSV_1782"
"Tree_C","Insect_D","Fungi_1","SITE_0001",2020,38,19.1133591839838,47.2013802888977,26.4081168259474,18.174344942433,0.456286820583045,10,12.48745509384,0.8,0.939275508353282,12,5.26241940215062,0.8,0.890837426805054,0.0698033723671745,0,-0.284580134653687,0.0712926738441504,2020-09-08,"OBSV_1842"
"Tree_A","Insect_A","Fungi_2","SITE_0010",2018,39,22.9593223593948,58.7448447797532,65.4707116221539,44.5738759206881,0.496013283333741,15,20.0691640269335,0.7,0.69957146826328,15,16.8207912173376,0.6,0.704318865814337,0.1094788152048,0,6.45061291517031,0.754042251647695,2018-04-17,"OBSV_1002"
"Tree_C","Insect_B","Fungi_3","SITE_0007",2021,40,4.01702130435734,36.0205140724067,52.6184845758755,33.7046532957377,0.630842080386355,12,10.2807372214684,0.9,0.913389542033431,10,1.53803187191037,0.9,0.711198368910303,0.172563978412303,0,0.885815393101817,0.321943140005745,2021-05-02,"OBSV_1477"
"Tree_E","Insect_B","Fungi_2","SITE_0004",2019,41,0.412517137282173,68.6999167658158,26.0230615142944,17.0345319361203,0.705294095608406,12,9.86423059947319,0.9,0.986778629024092,15,20.298511337544,0.6,0.467691136195588,0,0,0.670203851696999,1.12720246968963,2019-08-03,"OBSV_1906"
"Tree_A","Insect_C","Fungi_1","SITE_0005",2020,42,13.9235941707739,95,15.49334701129,11.4073652831488,0.366396216163412,18,21.4913719098456,0.5,0.463272645971891,12,24.3720458321987,0.8,0.753492854275652,0.206825092719588,0,11.9385840653702,0.115139860046129,2020-05-01,"OBSV_1785"
"Tree_B","Insect_D","Fungi_1","SITE_0001",2023,43,10.7778749417483,86.2176334366795,2.54788300388038,2.62717994979707,0.310254566976801,10,11.5223333830818,0.8,0.662502558563432,12,23.6046248573297,0.8,0.825249151605959,0.0117966152049681,0,5.10167625249297,0.0581347054880028,2023-07-02,"OBSV_1426"
"Tree_C","Insect_A","Fungi_1","SITE_0007",2023,44,14.1732331145418,86.0966579032204,24.1376728661369,21.2290708596725,0.550487296865322,15,13.8052932488949,0.7,0.717935314809023,12,20.0981209596614,0.8,0.681925715789673,0.136660757503757,0,5.3365012415777,0.836462815521673,2023-05-06,"OBSV_1896"
"Tree_B","Insect_A","Fungi_3","SITE_0007",2020,45,2.20048142254535,71.3222960432626,19.4824585935267,14.268508655743,0.99762942485977,15,9.26019701244838,0.7,0.745606571952853,10,13.7222508330836,0.9,0.694917049086925,0.321759489715773,1,2.75501086726313,0.0685097515907171,2020-08-27,"OBSV_1631"
"Tree_E","Insect_C","Fungi_4","SITE_0015",2022,46,31.9235381244013,68.449912256641,45.3446681291764,33.2946255147459,0.730254202452488,18,21.4958843946635,0.5,0.599927033710115,18,17.9551284435371,0.5,0.551946851488362,0.0147827841858632,0,8.44653835540358,0.324973543661508,2022-05-01,"OBSV_1543"
"Tree_A","Insect_B","Fungi_2","SITE_0004",2019,47,3.94316262040483,70.3909159633897,40.2714505469945,28.9898282771706,0.792994791455567,12,9.39514786584125,0.9,0.85732689766622,15,19.9927442536832,0.6,0.372734815760747,0.182423494996881,0,0.944353470105791,0.397312517509579,2019-06-20,"OBSV_1994"
"Tree_C","Insect_C","Fungi_2","SITE_0005",2019,48,-2.57245261790745,81.1530173938749,20.639560985733,14.4024392891613,0.509968957770616,18,10.6429955947333,0.5,0.663516820931754,15,23.4928578452952,0.6,0.439156985288137,0.0272531070559852,0,3.66975934096584,0.549091627649345,2019-06-04,"OBSV_1521"
"Tree_E","Insect_D","Fungi_3","SITE_0011",2021,49,25.0347160481563,70.3173855167928,37.9909271094542,27.2029169548581,0.878892011009157,10,13.6332383335592,0.8,0.830132690046702,10,11.7018579603351,0.9,1,0.122033730970209,0,1.83395167280597,0.42770932468236,2021-07-10,"OBSV_1581"
"Tree_C","Insect_C","Fungi_3","SITE_0009",2023,50,12.9866668816879,37.0662806618949,8.63695533632256,6.28550379527557,0.534344714018516,18,17.5393916189883,0.5,0.470557961175144,10,3.31296792919094,0.9,0.880087230181978,0.219205779885762,0,8.82636867616177,0.335126842840754,2023-08-07,"OBSV_1550"
"Tree_C","Insect_B","Fungi_3","SITE_0003",2022,51,6.5579688331827,86.3637164521946,25.803089811116,19.8671379622186,0.81632883856073,12,10.4062979948039,0.9,0.793528867887908,10,16.8977078553629,0.9,0.864392254825057,0.0679462334012234,0,2.31652478402032,1.23834716995468,2022-05-09,"OBSV_1999"
"Tree_D","Insect_D","Fungi_3","SITE_0003",2021,52,5.2291834384958,93.2331153951264,98.223869505067,70.0267879515564,0.846181779750623,10,8.67387198624496,0.8,0.740799185053979,10,21.2675194203201,0.9,0.747478689315523,0.0999101239965764,0,1.0244821480418,1.65190974259178,2021-09-06,"OBSV_1932"
"Tree_B","Insect_E","Fungi_1","SITE_0002",2021,53,7.13852448627438,44.6462451295845,11.0594994885663,8.43695373039256,0.562428046949208,14,11.8480808081039,0.6,0.619425398094691,12,6.3037759549985,0.8,0.742850729076196,0.287330196693942,0,4.54408129859079,0.289060623381093,2021-06-27,"OBSV_1768"
"Tree_B","Insect_D","Fungi_3","SITE_0012",2021,54,16.9175057694549,30,5.25611499299656,3.89688337239002,0.340623726486228,10,8.8929348654906,0.8,0.745702343850811,10,-1.04408113709045,0.9,0.905150802835019,0.201391555922967,0,2.03867656632387,0.160648580282057,2021-07-16,"OBSV_1050"
"Tree_D","Insect_E","Fungi_3","SITE_0009",2019,55,13.9832486969026,88.1395414593466,33.9489542572754,21.4404550157375,0.456638705194928,14,13.0450063352119,0.6,0.653007466875088,10,18.9323665599438,0.9,0.840559106874467,0.098736474006605,0,4.72066447336804,0.175082956545724,2019-04-22,"OBSV_1149"
"Tree_C","Insect_B","Fungi_4","SITE_0003",2018,56,-3.5937225938817,31.9118212113262,11.6978646689461,12.1151304313088,0.347429169830866,12,7.89096417586982,0.9,0.943761654053215,18,3.38692940321288,0.5,0.339647288353959,0.0532934797925845,0,0.519279937601283,0.119429481456379,2018-07-20,"OBSV_1684"
"Tree_C","Insect_E","Fungi_3","SITE_0009",2020,57,11.5358979688289,86.7735214778433,13.7634205165677,13.4085533705103,0.377997944294475,14,9.98629021041993,0.6,0.601373979565253,10,16.858258249416,0.9,0.771711203506729,0.324125274382732,1,3.63247980854775,0.185432817012585,2020-05-20,"OBSV_1711"
"Tree_C","Insect_A","Fungi_3","SITE_0015",2023,58,2.17042011694345,52.7359689044267,26.1094453872842,14.5530850509035,0.998207565862685,15,11.0074086797845,0.7,0.673142171400547,10,4.78239908438325,0.9,0.569853881638867,0.222309173784132,0,3.75260429218781,0.70653705283923,2023-04-26,"OBSV_1746"
"Tree_C","Insect_B","Fungi_1","SITE_0006",2019,59,12.2124493000289,43.2100535302411,17.6852339022587,11.6262390116862,0.88257416812703,12,11.5943988582162,0.9,0.742653828554052,12,6.75654645002922,0.8,0.731726358971619,0.342405943047458,1,2.89217741248049,0.664343990084234,2019-06-21,"OBSV_1852"
"Tree_E","Insect_C","Fungi_2","SITE_0007",2023,60,9.84244438710709,77.4065118753036,28.5742130747355,19.1776712476993,0.70364696693141,18,12.9575349352391,0.5,0.571825939819505,15,20.594738350746,0.6,0.760753534421723,0.24984959138469,0,5.86356912448552,0.339360049997586,2023-07-04,"OBSV_1792"
"Tree_E","Insect_D","Fungi_2","SITE_0005",2018,61,9.98044365582649,45.9310110359219,66.6727163817949,48.2968890708821,0.942995028127916,10,7.21315620933553,0.8,0.706860252924524,15,7.48489014633836,0.6,0.567653146776975,0.21489561133062,0,2.12797046742719,0.912993058508425,2018-05-07,"OBSV_1761"
"Tree_D","Insect_A","Fungi_4","SITE_0009",2020,62,8.58734892020935,80.7138354655309,40.7651893200565,25.8506254679827,0.901328389206901,15,11.4412664976493,0.7,0.79573122605612,18,30.5624857802864,0.5,0.592969266728013,0.0879847099030865,0,1.70880565752888,0.535350446422727,2020-08-10,"OBSV_1377"
"Tree_B","Insect_A","Fungi_3","SITE_0015",2023,63,12.4456961987359,51.0668224561688,12.5273830637611,9.37766040443173,0.579027887783013,15,13.3741197677164,0.7,0.623998875245285,10,6.22059825636529,0.9,0.850921888125697,0.0839984286750523,0,4.71959286345874,0.843218961445337,2023-07-17,"OBSV_1335"
"Tree_D","Insect_B","Fungi_3","SITE_0007",2020,64,20.683411359728,47.2011956798424,59.1904936448344,41.019020201072,0.384597611497156,12,14.5620152941434,0.9,0.75404887899692,10,5.5569109895044,0.9,0.848938984534928,0.040096063297344,0,3.446524148218,0.434761398823061,2020-08-15,"OBSV_1942"
"Tree_B","Insect_A","Fungi_3","SITE_0007",2023,65,14.4766436376356,41.0971665114858,18.8978938042592,12.3256003651477,0.51906640632078,15,15.3367667525063,0.7,0.639420727657667,10,5.88494220851013,0.9,0.801684668599054,0.158294638060496,0,6.2243293836695,0.51469345985952,2023-08-15,"OBSV_1640"
"Tree_B","Insect_D","Fungi_3","SITE_0006",2023,66,14.0727343400006,59.9035060038238,35.0538914781311,25.3863824442323,0.872691028215922,10,13.0586304940837,0.8,0.715661503939912,10,11.555947556698,0.9,0.934126196005048,0.303861601840449,1,3.33018267144978,0.219812585054986,2023-09-04,"OBSV_1715"
"Tree_B","Insect_C","Fungi_1","SITE_0014",2022,67,23.6678457154162,30,38.9385900904857,25.4869917601209,0.381455762661062,18,21.4116996328817,0.5,0.47881579207573,12,-0.481385481898546,0.8,1,0.125308881625392,0,11.8288240918527,0.163923672025968,2022-04-13,"OBSV_1874"
"Tree_E","Insect_E","Fungi_1","SITE_0007",2021,68,7.98763752515527,30,43.8259756611669,27.7580621522443,0.873480244376697,14,10.2894549028124,0.6,0.4680600123043,12,1.61397083475917,0.8,0.616675926770462,0.300638479261698,1,5.17690457803127,1.46005444248796,2021-04-08,"OBSV_1199"
"Tree_D","Insect_D","Fungi_1","SITE_0008",2023,69,8.35595959532846,45.2660245663528,12.3787452500337,11.9248572476543,0.496148964739405,10,9.84144640950161,0.8,0.952627404785069,12,5.59139360463138,0.8,0.677192045989424,0,0,0.554786187523368,0.219777946675934,2023-07-26,"OBSV_1869"
"Tree_A","Insect_B","Fungi_2","SITE_0007",2020,70,8.04908547376979,30.1235113043941,39.1167190695566,28.1454878349507,0.813247647020034,12,10.4184391304725,0.9,0.780091503465953,15,2.27494969787761,0.6,0.572671197553829,0.137242049145406,0,1.4534503403313,1.31997845277474,2020-04-23,"OBSV_1079"
"Tree_E","Insect_C","Fungi_2","SITE_0009",2023,71,11.3974417774076,34.7918769708692,58.6226715702086,40.4858872665894,0.314858627202921,18,16.5792621335188,0.5,0.563298401307993,15,4.87965623216219,0.6,0.560484483311562,0,0,7.63338774155298,0.211751380422504,2023-04-03,"OBSV_1770"
"Tree_E","Insect_D","Fungi_2","SITE_0013",2021,72,5.38792316347153,43.70684086137,5.15784549083641,4.50094208184509,0.776930414279923,10,7.06727259896384,0.8,0.879854098556391,15,6.96748530532007,0.6,0.452949980465729,0.0124817725900164,0,0.996115778849249,0.52940976556964,2021-09-13,"OBSV_1740"
"Tree_A","Insect_A","Fungi_2","SITE_0008",2022,73,23.7653806267846,93.7019543779969,41.9808411657844,28.2877136636447,0.321824580384418,15,17.389979174509,0.7,0.780348046491871,15,31.426934474701,0.6,0.569499117066565,0.128155813190984,0,3.62649818582763,0.121089011509008,2022-04-08,"OBSV_1938"
"Tree_A","Insect_B","Fungi_1","SITE_0006",2018,74,18.0660356622653,80.9649507633643,10.5108006503758,10.6083377311809,0.574676580005325,12,12.8063435932017,0.9,0.900692330260536,12,20.4130023469347,0.8,0.813056606002196,0,0,2.30141590083797,0.388422692261535,2018-06-19,"OBSV_1679"
"Tree_E","Insect_C","Fungi_3","SITE_0004",2023,75,5.20181411274162,35.4616739714102,24.7212851146026,14.7722271682875,0.568917016172782,18,13.4238016927381,0.5,0.46103096145553,10,2.46379480157594,0.9,0.646561199251616,0.171057682139529,0,7.28840144260425,0.66439541231577,2023-09-03,"OBSV_1556"
"Tree_E","Insect_A","Fungi_1","SITE_0015",2021,76,14.4735272078561,63.6875139755679,16.5985337993192,11.3872076710939,0.571877884701826,15,14.9376100236555,0.7,0.699858412770141,12,11.1726031891931,0.8,0.734464394578102,0.286273614933249,0,4.27394181466844,0.2735203466619,2021-05-18,"OBSV_1143"
"Tree_B","Insect_D","Fungi_2","SITE_0007",2022,77,16.0831800136787,30,14.8532149070168,10.4245878922217,0.338514873804524,10,9.87049413164659,0.8,0.723199562721158,15,-0.424639820387703,0.6,0.508354307304829,0.0309216555892453,0,2.4475658089642,0.465333975683063,2022-06-18,"OBSV_1740"
"Tree_A","Insect_A","Fungi_3","SITE_0006",2019,78,18.3582379801388,56.0751190937205,22.6948202166963,16.8894676165205,0.918363351235166,15,14.5889039931584,0.7,0.733093919902307,10,10.856895175985,0.9,0.907262587148342,0.105383673812089,0,4.01528051277814,0.729381433331925,2019-07-09,"OBSV_1452"
"Tree_C","Insect_A","Fungi_4","SITE_0011",2021,79,5.87974850389373,59.6651017556234,34.9739663903456,24.0763102652528,0.83000232479535,15,12.0672317686184,0.7,0.719627512764191,18,19.7254857047325,0.5,0.42236261192028,0.0462123451200358,0,3.16760942535594,0.242757246903511,2021-04-11,"OBSV_1421"
"Tree_B","Insect_A","Fungi_4","SITE_0007",2021,80,3.54467311818477,39.4136103190662,41.2341686629932,30.3851692825097,0.554888335661963,15,14.4134961847278,0.7,0.634644101901521,18,6.43815931994084,0.5,0.344773181852942,0.0152211332006516,0,5.11293697491406,0.829748138593892,2021-04-22,"OBSV_1040"
"Tree_B","Insect_D","Fungi_2","SITE_0005",2023,81,2.49266500941138,32.528517670517,32.0183491933564,27.6210295272747,0.897320544137619,10,7.48919639470409,0.8,0.741184767795144,15,2.6213716126732,0.6,0.446371846114465,0.0418840510974338,0,2.54030713428588,0.531393554309486,2023-07-06,"OBSV_1250"
"Tree_D","Insect_C","Fungi_4","SITE_0009",2023,82,5.27757832908777,59.3216394440273,43.5781729138749,31.5056354619077,0.877070330665447,18,11.9490062860556,0.5,0.500082503073789,18,15.4948489105786,0.5,0.401662257410212,0.289586410254976,0,5.90938082310585,0.192737342428105,2023-08-15,"OBSV_1141"
"Tree_A","Insect_C","Fungi_4","SITE_0007",2020,83,14.5002163526509,43.6726639208876,27.7956076297376,20.0046881807972,0.787339228857309,18,19.7879264532353,0.5,0.603284253920319,18,5.18333464716794,0.5,0.355866221571958,0.0781035636177878,0,8.46786597580861,1.28722296080764,2020-06-25,"OBSV_1467"
"Tree_B","Insect_E","Fungi_1","SITE_0005",2020,84,-1.96355040559946,30.9078361617449,12.1762998323112,8.55482031956234,0.44884509195108,14,7.85080878935158,0.6,0.611666284154313,12,1.3865889105604,0.8,0.467290790505429,0.166331660985158,0,2.80974265149846,0.16705685663718,2020-05-07,"OBSV_1946"
"Tree_A","Insect_A","Fungi_2","SITE_0005",2023,85,-6.17227394495286,95,4.75963216824853,5.21751415299488,0.791479557962157,15,9.52378891220885,0.7,0.590645579946105,15,32.5673696882156,0.6,0.329742196217227,0.175739911072037,0,4.46249028967932,0.387369678846405,2023-09-02,"OBSV_1270"
"Tree_B","Insect_E","Fungi_4","SITE_0012",2018,86,17.6211083577447,95,49.4293119637193,32.4090762887775,0.839096793881617,14,13.2059182426636,0.6,0.725352699897156,18,33.9638937073346,0.5,0.494663057135795,0,0,4.13939026434742,0.327006340754871,2018-08-24,"OBSV_1906"
"Tree_B","Insect_A","Fungi_2","SITE_0001",2020,87,-11.8713288441852,56.3418118640143,56.9747341525587,39.2228546361064,0.438627850660123,15,6.80772450894992,0.7,0.721644573831528,15,13.8669753153199,0.6,0.342217533160844,0.0711341983636357,0,1.57822241832201,0.565069536589778,2020-06-21,"OBSV_1172"
